INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
202409,210102,LGE LOAF-WHTE-UNSLED-750-800G,1,101.335,101.65299999999999,0.42100000000000004,0.27,0.34
202409,210106,SIX BREAD ROLLS-WHITE/BROWN,1,99.83200000000001,100.251,0.655,0.42,0.529
202409,210111,WHITE SLICED LOAF BRANDED 750G,1,99.837,99.876,1.0290000000000001,0.66,0.831
202409,210113,WHOLEMEAL SLICED LOAF BRANDED,1,100.68700000000001,100.617,0.7490000000000001,0.48,0.604
202409,210114,CHILLED GARLIC BREAD,1,101.646,101.667,1.31,0.84,1.057
202409,210115,WRAP / TORTILLA PACK 6-8,1,103.26899999999999,102.444,0.374,0.24,0.302
202409,210116,GLUTEN FREE BREAD LF 300-550G,1,99.759,99.804,0.14,0.09,0.113
202409,210201,FLOUR-SELF-RAISING-1.5KG,1,99.757,99.815,0.42,0.12,0.33899999999999997
202409,210204,DRY SPAGHETTI OR PASTA 500G,1,101.443,100.773,0.281,0.36,0.22699999999999998
202409,210211,CORN SNACK SINGLE PACK MAX 50G,1,100.93799999999999,99.87899999999999,0.838,0.48,0.6759999999999999
202409,210212,BASMATI RICE 500G-1KG,1,98.859,98.656,0.369,0.36,0.298
202409,210213,BREAKFAST CEREAL 1,1,108.16799999999999,103.635,1.056,0.3,0.852
202409,210214,BREAKFAST CEREAL 2,1,101.255,101.95100000000001,2.006,0.57,1.619
202409,210215,CEREAL BAR,1,101.785,101.57700000000001,0.41200000000000003,0.36,0.33299999999999996
202409,210216,HOT OAT CEREAL,1,101.804,100.477,0.42200000000000004,0.12,0.341
202409,210217,RICE MICRO POUCH/TRAY 220-280G,1,99.33200000000001,98.611,0.062,0.06,0.05
202409,210219,BREAKFAST CEREAL GLUTEN FREE,1,101.5,101.729,0.21100000000000002,0.06,0.17
202409,210221,COUSCOUS PLAIN/FLAVOURED,1,99.805,99.764,0.047,0.06,0.038
202409,210222,RICE CAKES PACK 100-180G,1,93.686,92.02799999999999,0.154,0.15,0.124
202409,210301,CREAM CRACKERS PACK 200G-300G,1,96.221,97.449,0.561,0.49,0.45299999999999996
202409,210302,PLAIN BISCUITS-200-300G,1,100.459,100.65799999999999,1.604,1.4,1.295
202409,210320,WHOLE SPONGE CAKE NOT FROZEN,1,104.074,103.542,1.2830000000000001,1.12,1.036
202409,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,96.29799999999999,95.545,2.406,2.1,1.942
202409,210323,BISCUITS HALF CHOC 260-400G,1,106.385,105.87700000000001,0.802,0.7,0.647
202409,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,98.756,98.191,1.3630000000000002,1.19,1.1
202409,210403,HOME KILLED BEEF-LEAN MINCE KG,1,99.704,99.59700000000001,0.78,0.9,0.63
202409,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,98.93299999999999,98.93299999999999,1.0659999999999998,1.23,0.861
202409,210414,FROZEN BEEFBURGERS PACK OF 4,1,99.59,99.488,0.41600000000000004,0.48,0.336
202409,210416,BEEF ROASTING JOINT PER KG,1,102.99600000000001,102.80799999999999,0.33799999999999997,0.39,0.273
202409,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,111.71600000000001,110.906,1.709,1.0,1.379
202409,210707,HOME KILLED PORK CHOP/STEAK,1,101.052,101.59,1.157,1.0,0.934
202409,210802,BACON-GAMMON-PER KG,1,101.10799999999999,101.102,0.402,0.18,0.324
202409,210808,BACON-BACK-PER KG,1,99.07600000000001,98.822,1.83,0.82,1.4769999999999999
202409,210905,FRESH/CHILLED CHICKEN  PER KG,1,102.071,101.619,0.782,1.12,0.631
202409,210910,FRESH BONELESS CHICKEN BREAST,1,100.758,100.60799999999999,1.787,2.56,1.443
202409,210914,FRESH TURKEY DICED/MIN PER KG,1,106.00299999999999,105.884,0.223,0.32,0.18
202409,211007,CANNED MEAT-STEWED STEAK,1,102.27,102.822,0.139,0.12,0.11199999999999999
202409,211011,INDIVIDUAL MEAT PIE,1,101.473,101.029,0.905,0.78,0.731
